Date,Title,Artist
2001-01-22,Outside,Aaron Lewis Of Staind With Fred Durst
2001-01-22,Soul Sista,Bilal
2001-01-22,Georgia,Carolyn Dawn Johnson
2001-01-29,Free,Mya
2001-01-29,Snoop Dogg,Snoop Dogg
2001-01-29,If My Heart Had Wings,Faith Hill
2001-01-29,Pour Me,Trick Pony
2001-01-29,You All Dat,Baha Men With Imani Coppola
2001-01-29,Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek"
2001-02-05,Around The World (La La La La La),ATC
2001-02-05,Hanging By A Moment,Lifehouse
2001-02-05,A Long Walk,Jill Scott
2001-02-05,One Step Closer,Linkin Park
2001-02-05,One More Time,Daft Punk
2001-02-05,Missing You,Case
2001-02-12,The Call,Backstreet Boys
2001-02-12,Thank You For Loving Me,Bon Jovi
2001-02-12,Who's That Girl?,Eve
2001-02-12,Drive,Incubus
2001-02-12,Love,Musiq Soulchild
2001-02-12,Don't Talk,Jon B
2001-02-12,Get Crunked Up,Iconz Featuring Tony Manshino
2001-02-19,Ride Wit Me,Nelly Featuring City Spud
2001-02-19,Just Another Girl,Monica
2001-02-19,Look At Us,Sarina Paris
2001-02-26,Never Had A Dream Come True,S Club 7
2001-02-26,Best I Ever Had (Grey Sky Morning),Vertical Horizon
2001-02-26,I'm Like A Bird,Nelly Furtado
2001-02-26,"So Fresh, So Clean",OutKast
2001-02-26,Oochie Wally,QB Finest Featuring Nas & Bravehearts
2001-02-26,It's A Great Day To Be Alive,Travis Tritt
2001-02-26,Chickenhead,Project Pat
2001-02-26,Cross The Border,Philly's Most Wanted
2001-03-05,Heard It All Before,Sunshine Anderson
2001-03-05,Follow Me,Uncle Kracker
2001-03-05,Yellow,Coldplay
2001-03-05,Ain't Nothing 'Bout You,Brooks & Dunn
2001-03-05,Don't Happen Twice,Kenny Chesney
2001-03-05,Take It To Da House,Trick Daddy Featuring The SNS Express
2001-03-12,All For You,Janet
2001-03-12,Survivor,Destiny's Child
2001-03-12,Maybe I Deserve,Tank
2001-03-12,She Misses Him,Tim Rushlow
2001-03-12,If I Fall You're Going Down With Me,Dixie Chicks
2001-03-12,Drops Of Jupiter (Tell Me),Train
2001-03-12,Lucky 4 You (Tonight I'm Just Me),SHeDAISY
2001-03-12,Bizounce,Olivia
2001-03-19,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott"
2001-03-19,Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz"
2001-03-19,Mrs. Steven Rudy,Mark McGuinn
2001-03-19,What Would You Do?,City High
2001-03-26,Get Over Yourself,Eden's Crush
2001-03-26,Grown Men Don't Cry,Tim McGraw
2001-03-26,Fiesta,R. Kelly Featuring Jay-Z
2001-03-26,Request Line,The Black Eyed Peas Featuring Macy Gray
2001-03-26,Video,India.Arie
2001-03-26,Superwoman Pt. II,Lil' Mo Featuring Fabolous
2001-04-02,Play,Jennifer Lopez
2001-04-02,There It Is,Ginuwine
2001-04-02,Right Where I Need To Be,Gary Allan
2001-04-02,Too Little Too Late,Barenaked Ladies
2001-04-02,I Like Them Girls,Tyrese
