,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
4631,Kodak Black,First Day Out,7AAnFzBtOlgoYceCQoLRUR,49,2017,hip-hop,0.806,0.557,2,-6.633,0,0.114,0.405,6.62e-06,0.0838,0.504,140.011,180000,4,True
4632,Alemão Do Forró,Ana Maria,1UjysWwH4QoawkMeU3xVXM,29,2016,forro,0.707,0.945,11,-2.903,1,0.17,0.301,4.77e-06,0.0628,0.917,192.104,181786,4,False
4633,Marshmello,Alone,3MEYFivt6bilQ9q9mFWZ4g,70,2016,dance,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,273803,4,True
4634,Goldfrapp,U.K. Girls (Physical),0oU0P4nCjCfB696EFR2Rzh,13,2001,electronic,0.707,0.528,5,-7.715,1,0.0581,0.296,8.77e-06,0.166,0.473,109.972,290160,4,False
4635,Esmeralda Ortiz,Canto de Glória,1bLceZGY4dxZoUR8Yq1QQZ,0,2015,samba,0.724,0.601,4,-6.417,0,0.152,0.499,0.0,0.19,0.779,93.043,192419,4,False
4636,One Direction,Perfect,3NLnwwAQbbFKcEcV8hDItk,77,2015,pop,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,True
4637,Lorde,Glory And Gore,60jI0JgMLLj1VggHJVhtRs,62,2013,pop,0.689,0.377,1,-8.761,1,0.0397,0.285,0.0,0.268,0.294,143.946,210738,4,True
4638,Santiago Ceron,Quiero Verte una Vez Mas,0IQ0icpHVs83QBN8g9X5Fg,1,2012,salsa,0.463,0.354,0,-9.789,0,0.0375,0.437,0.000128,0.428,0.391,164.252,233493,4,False
4639,Dead by April,Let It Go,0XUBVMTYG5YFdbUstP34EC,40,2020,metalcore,0.42,0.937,0,-2.672,0,0.152,0.00938,0.0,0.166,0.412,156.059,191154,4,False
4640,Robert Schumann,"Album fur die Jugend (Album for the Young), Op. 68, Part II: Fur Erwachsenere: II: Mignon",1JDEdvGaksgEAgy90LKuN2,24,2001,classical,0.266,0.0158,3,-28.238,1,0.0408,0.996,0.896,0.12,0.129,69.109,176373,3,False
4641,Relaunch,Singapore Sling,19A1sb07PY4RNfc548xkFh,8,2013,deep-house,0.696,0.54,9,-8.814,0,0.0641,0.11,0.911,0.109,0.474,125.013,438026,4,False
4642,Ant Saunders,Yellow Hearts,2W4yABdLc4Jnds67Poi5Nl,64,2019,chill,0.866,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.039,223258,4,True
4643,Camila Cabello,Hasta Los Dientes,2U0jWXrxJUzWVlLsHttAXJ,62,2022,dance,0.831,0.697,1,-5.298,0,0.0483,0.175,0.0,0.0757,0.964,120.047,188561,4,False
4644,Justin Bieber,All That Matters,6CLVh9sekZ1p2G8Tfhhj8h,65,2014,pop,0.698,0.509,1,-5.798,1,0.0503,0.00535,0.0,0.0703,0.143,129.865,191173,4,True
4645,Brooks & Dunn,Every River,7hAUQNn3k9QZFjtqnWzq8b,32,2001,country,0.553,0.903,6,-6.131,1,0.0807,0.132,0.000716,0.422,0.312,124.984,209027,4,True
4646,Darlene Koldenhoven,Sweet Peace,1KltOdoNaA6uRVIazQhnI2,2,2022,opera,0.305,0.0839,1,-21.956,1,0.0336,0.969,0.815,0.101,0.0635,83.483,255977,3,False
4647,Richard Wagner,"Die Walküre / Dritter Aufzug: ""Nicht weise bin ich, doch wusst' ich das eine""",1oFJfkbBKSJULo4TVj1gE7,2,2012,opera,0.293,0.125,4,-20.263,0,0.0412,0.967,0.000214,0.754,0.0384,109.011,288133,5,False
4648,Kenny Lattimore,Love Saw It,7dTb4p0PVaKSWO4aNX9DeE,11,2003,soul,0.834,0.501,6,-6.917,0,0.118,0.252,0.0,0.24,0.794,94.055,234933,4,False
4649,Migos,Supastars,7yt6eiZQCkVFEzwGp4Pbor,50,2018,hip-hop,0.782,0.686,1,-4.383,1,0.0594,0.253,0.0,0.08,0.334,75.948,293138,4,True
4650,Fonky Fresh,Du är en vacker person (feat. RMK),0WMfGa7wRzHqGllYbAgh1L,14,2012,swedish,0.616,0.487,5,-10.615,0,0.114,0.194,0.000534,0.0846,0.632,175.759,175044,4,False
4651,Three Days Grace,Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,72,2006,alt-rock,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,231400,4,True
4652,Usher,Climax,5pyVqlqThcxI7tPDjHIzPh,60,2012,dance,0.647,0.478,8,-8.837,1,0.0782,0.547,2.69e-05,0.156,0.333,135.877,232907,4,True
4653,Maren Morris,80s Mercedes,58spuRyMUsjKHQHEGwLC99,60,2017,country,0.485,0.834,9,-5.413,1,0.0715,0.0665,0.0,0.28,0.659,90.933,211767,4,True
4654,Keith Urban,Somewhere In My Car,50nzorQ9gi2md8UpFi8aJT,49,2013,country,0.6,0.867,10,-5.394,1,0.0367,0.0072,6.25e-05,0.116,0.619,118.032,236907,4,True
4655,Jack Harlow,Dua Lipa,0LnS7aOdOdI1dNKZqdOLz4,73,2022,hip-hop,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053,4,True
4656,Rasta Bigoud,Le moulin des fachos,74xqikWx5t3zfpcPjJUugG,8,2001,french,0.796,0.603,4,-7.872,0,0.102,0.0258,0.0119,0.0925,0.686,154.761,293867,4,False
4657,Jason Derulo,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,74,2020,dance,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4,True
4658,Sam Hunt,Kinfolks,53F1MVa1BWUkTBbVqgVAfN,54,2019,country,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04,181933,4,True
4659,The Wanted,Chasing The Sun,4b4c0oH7PtrPsI86drzgFs,67,2012,dance,0.637,0.732,7,-6.209,0,0.0965,0.244,0.0,0.498,0.68,128.108,198800,4,True
4660,ED209,The Man - Original Mix,2YTlaenzb32SNA94OUfoXr,2,2007,breakbeat,0.584,0.955,11,-4.841,1,0.0441,0.000191,0.254,0.185,0.629,134.962,356533,4,False
4661,Ella Henderson,Ghost,2FiceoWDJ67rrmb5tGBpgE,53,2014,dance,0.682,0.836,9,-3.777,1,0.0424,0.0464,3.13e-06,0.0797,0.486,104.984,216107,4,True
4662,Die Apokalyptischen Reiter,Schenk Mir Heut Nacht,65pNhYFf454iMgfPbfdn8X,9,2006,heavy-metal,0.259,0.921,5,-3.551,0,0.12,0.00462,0.0,0.201,0.483,141.301,181280,3,False
4663,Igor Talkov,The people with bandaged heads,5FbnFHPZlE5jmutUr0rqW4,0,2012,romance,0.539,0.429,9,-12.745,0,0.0377,0.24,0.000106,0.406,0.581,77.87,378723,4,False
4664,Heather Headley,I Wish I Wasn't,4xVTo97ZBwlT8ai9Wj8zw4,45,2002,soul,0.74,0.434,1,-5.714,1,0.0443,0.778,0.0,0.128,0.333,111.912,255467,4,True
4665,Julianna Barwick,Nod,3yrhTQ3lv4axr8VIjQkFX8,37,2020,ambient,0.0925,0.278,1,-12.26,0,0.0303,0.752,0.728,0.196,0.0528,172.855,237071,3,False
4666,Taburete,Mexico D.F.,17My6Ut3sZ3L8I1zWHhoRh,36,2015,spanish,0.822,0.531,2,-6.416,0,0.0512,0.505,1.46e-05,0.0504,0.945,138.053,228285,4,False
4667,Sabrina Carpenter,Pushing 20,1xMHC2XPuDyBWU1ULY7eMA,47,2019,dance,0.633,0.814,0,-2.876,1,0.313,0.171,0.0,0.161,0.623,150.789,166234,4,False
4668,Sage The Gemini,Red Nose,65rZ4oDVon6GMzTkSBzUnK,40,2013,dance,0.86,0.459,11,-5.742,0,0.109,0.438,0.0,0.274,0.746,97.512,193573,4,True
4669,Pharrell Williams,Come Get It Bae,24MSdaNRlLgjp8xYeJeXwZ,53,2014,hip-hop,0.934,0.798,0,-5.665,1,0.0849,0.266,4.54e-05,0.0962,0.895,120.162,201933,4,True
4670,Liga Independente das Escolas de Samba,"G.R.E.S. Mocidade Unida da Mooca - Manto Sagrado, a História Que o Tempo Bordou - Ao vivo",1UZxhm5FadfUT0lM9Ecrxo,4,2018,samba,0.347,0.834,7,-7.586,0,0.0633,0.708,0.0,0.957,0.719,143.978,336271,4,False
4671,Joe Diffie,It's Always Somethin',0JEENexQ36z3cj71QKDb62,22,2002,country,0.611,0.809,9,-5.833,1,0.0336,0.0455,9.86e-05,0.16,0.616,90.02,178236,4,True
